countrycodetest
AG,Solomon Islands,SLB
AN,Nauru,NRU
AY,Papua New Guinea,PNG
BG,Greenland,GRL
BI,Iceland,ISL
BK,Kosovo,OWID_KOS
C,Canada,CAN
DA,Algeria,DZA
DB,Benin,BEN
DF,Burkina Faso,BFA
DG,Ghana,GHA
DI,Côte d'Ivoire,CIV
DN,Nigeria,NGA
DR,Niger,NER
DT,Tunisia,TUN
DX,Togolese Republic,TGO
EB,Belgium,BEL
ED,Germany,DEU
EE,Estonia,EST
EF,Finland,FIN
EG,United Kingdom,GBR
EH,Netherlands,NLD
EI,Ireland,IRL
EK,Denmark,DNK
EL,Luxembourg,LUX
EN,Norway,NOR
EP,Poland,POL
ES,Sweden,SWE
ET,Germany,DEU
EV,Latvia,LVA
EY,Lithuania,LTU
FA,South Africa,ZAF
FB,Botswana,BWA
FC,Republic of the Congo,COG
FD,Eswatini,SWZ
FE,Central African Republic,CAF
FG,Equatorial Guinea,GNQ
FH,Saint Helena,SHN
FI,Mauritius,MUS
FJ,British Indian Ocean Territory,IOT
FK,Cameroon,CMR
FL,Zambia,ZMB
FM,Comoros,COM
FN,Angola,AGO
FO,Gabon,GAB
FP,São Tomé,STP
FQ,Mozambique,MOZ
FS,Seychelles,SYC
FT,Chad,TCD
FV,Zimbabwe,ZWE
FW,Malawi,MWI
FX,Lesotho,LSO
FY,Namibia,NAM
FZ,Democratic Republic of the Congo,COD
GA,Mali,MLI
GB,The Gambia,GMB
GC,Spain,ESP
GE,Spain,ESP
GF,Sierra Leone,SLE
GG,Guinea-Bissau,GNB
GL,Liberia,LBR
GM,Morocco,MAR
GO,Senegal,SEN
GQ,Mauritania,MRT
GS,Western Sahara,ESH
GU,Guinea,GIN
GV,Cape Verde,CPV
HA,Ethiopia,ETH
HB,Burundi,BDI
HC,Somalia,SOM
HD,Djibouti,DJI
HE,Egypt,EGY
HH,Eritrea,ERI
HK,Kenya,KEN
HL,Libya,LBY
HR,Rwanda,RWA
HS,Sudan and South Sudan,SDN
HT,Tanzania,TZA
HU,Uganda,UGA
K,Contiguous United States,USA
LA,Albania,ALB
LB,Bulgaria,BGR
LC,Cyprus,CYP
LD,Croatia,HRV
LE,Spain,ESP
LF,France,FRA
LG,Greece,GRC
LH,Hungary,HUN
LI,Italy,ITA
LJ,Slovenia,SVN
LK,Czech Republic,CZE
LL,Israel,ISR
LM,Malta,MLT
LN,Monaco,MCO
LO,Austria,AUT
LP,Portugal,PRT
LQ,Bosnia,BIH
LR,Romania,ROU
LS,Switzerland,CHE
LT,Turkey,TUR
LU,Moldova,MDA
LV,Palestine,PSE
LW,North Macedonia,MKD
LX,Gibraltar,GIB
LY,Serbia and Montenegro,SRB
LZ,Slovakia,SVK
MB,Turks,TCA
MD,Dominican Republic,DOM
MG,Guatemala,GTM
MH,Honduras,HND
MK,Jamaica,JAM
MM,Mexico,MEX
MN,Nicaragua,NIC
MP,Panama,PAN
MR,Costa Rica,CRI
MS,El Salvador,SLV
MT,Haiti,HTI
MU,Cuba,CUB
MW,Cayman Islands,CYM
MY,Bahamas,BHS
MZ,Belize,BLZ
NC,Cook Islands,COK
NF,Fiji,FJI
NG,Kiribati,KIR
NI,Niue,NIU
NL,France,FRA
NS,Samoa,WSM
NT,France,FRA
NV,Vanuatu,VUT
NW,France,FRA
NZ,New Zealand,NZL
OA,Afghanistan,AFG
OB,Bahrain,BHR
OE,Saudi Arabia,SAU
OI,Iran,IRN
OJ,Jordan and the West Bank,JOR
OK,Kuwait,KWT
OL,Lebanon,LBN
OM,United Arab Emirates,ARE
OO,Oman,OMN
OP,Pakistan,PAK
OR,Iraq,IRQ
OS,Syria,SYR
OT,Qatar,QAT
OY,Yemen,YEM
PA,US,USA
PB,US,USA
PC,Kiribati,KIR
PF,US,USA
PG,US,USA
PH,US,USA
PJ,US,USA
PK,Marshall Islands,MHL
PL,Kiribati,KIR
PM,US,USA
PO,US,USA
PP,US,USA
PT,Federated States of Micronesia,FSM
PW,US,USA
RC,Republic of China,TWN
RJ,Japan,JPN
RK,Republic of Korea,KOR
RO,Japan,JPN
RP,Philippines,PHL
SA,Argentina,ARG
SB,Brazil,BRA
SC,Chile,CHL
SD,Brazil,BRA
SE,Ecuador,ECU
SF,United Kingdom,GBR
SG,Paraguay,PRY
SH,Chile,CHL
SI,Brazil,BRA
SJ,Brazil,BRA
SK,Colombia,COL
SL,Bolivia,BOL
SM,Suriname,SUR
SN,Brazil,BRA
