China,1439323.7760,CHN
India,1380004.3850,IND
United States,331002.6510,USA
Indonesia,273523.6150,IDN
Pakistan,220892.3400,PAK
Brazil,212559.4170,BRA
Nigeria,206139.5890,NGA
Bangladesh,164689.3830,BGD
Russia,145934.4620,RUS
Mexico,128932.7530,MEX
Japan,126476.4610,JPN
Ethiopia,114963.5880,ETH
Philippines,109581.0780,PHL
Egypt,102334.4040,EGY
Vietnam,97338.5790,VNM
DR Congo,89561.4030,COD
Turkey,84339.0670,TUR
Iran,83992.9490,IRN
Germany,83783.9420,DEU
Thailand,69799.9780,THA
United Kingdom,67886.0110,GBR
France,65273.5110,FRA
Italy,60461.8260,ITA
Tanzania,59734.2180,TZA
South Africa,59308.6900,ZAF
Myanmar,54409.8000,MMR
Kenya,53771.2960,KEN
South Korea,51269.1850,KOR
Colombia,50882.8910,COL
Spain,46754.7780,ESP
Uganda,45741.0070,UGA
Argentina,45195.7740,ARG
Algeria,43851.0440,DZA
Sudan,43849.2600,SDN
Ukraine,43733.7620,UKR
Iraq,40222.4930,IRQ
Afghanistan,38928.3460,AFG
Poland,37846.6110,POL
Canada,37742.1540,CAN
Morocco,36910.5600,MAR
Saudi Arabia,34813.8710,SAU
Uzbekistan,33469.2030,UZB
Peru,32971.8540,PER
Angola,32866.2720,AGO
Malaysia,32365.9990,MYS
Mozambique,31255.4350,MOZ
Ghana,31072.9400,GHA
Yemen,29825.9640,YEM
Nepal,29136.8080,NPL
Venezuela,28435.9400,VEN
Madagascar,27691.0180,MDG
Cameroon,26545.8630,CMR
Ivory Coast,26378.2740,CIV
North Korea,25778.8160,PRK
Australia,25499.8840,AUS
Niger,24206.6440,NER
Taiwan,23816.7750,TWN
Sri Lanka,21413.2490,LKA
Burkina Faso,20903.2730,BFA
Mali,20250.8330,MLI
Romania,19237.6910,ROU
Malawi,19129.9520,MWI
Chile,19116.2010,CHL
Kazakhstan,18776.7070,KAZ
Zambia,18383.9550,ZMB
Guatemala,17915.5680,GTM
Ecuador,17643.0540,ECU
Syria,17500.6580,SYR
Netherlands,17134.8720,NLD
Senegal,16743.9270,SEN
Cambodia,16718.9650,KHM
Chad,16425.8640,TCD
Somalia,15893.2220,SOM
Zimbabwe,14862.9240,ZWE
Guinea,13132.7950,GIN
